time (s),Amplitude - Plot 0
1.275,5.40733
1.276,3.38316
1.277,1.46627
1.278,-0.300407
1.279,-1.63794
1.28,-3.13997
1.281,-4.13418
1.282,-5.43594
1.283,-7.49588
1.284,-8.98361
1.285,-11.1723
1.286,-13.2608
1.287,-14.4839
1.288,-17.1876
1.289,-19.176
1.29,-20.3562
1.291,-21.379
1.292,-22.8167
1.293,-24.0469
1.294,-26.7005
1.295,-26.9008
1.296,-27.4229
1.297,-28.5387
1.298,-29.9406
1.299,-30.3054
1.3,-29.9048
1.301,-30.52
1.302,-31.4569
1.303,-31.2138
1.304,-30.4627
1.305,-29.6688
1.306,-31.0278
1.307,-29.6474
1.308,-28.6031
1.309,-27.5517
1.31,-28.1453
1.311,-25.9638
1.312,-24.3759
1.313,-23.4532
1.314,-22.1014
1.315,-20.9641
1.316,-18.7755
1.317,-16.7012
1.318,-14.9918
1.319,-13.6399
1.32,-11.3654
1.321,-9.45568
1.322,-7.77483
1.323,-5.56469
1.324,-3.38316
1.325,-1.43766
1.326,0.371933
1.327,1.72377
1.328,3.55482
1.329,4.57764
1.33,6.12259
1.331,7.92503
1.332,9.34839
1.333,11.8303
1.334,13.5112
1.335,15.1849
1.336,17.3092
1.337,19.9127
1.338,20.7996
1.339,21.5364
1.34,23.2816
1.341,24.7335
1.342,27.2298
1.343,27.5087
1.344,27.6303
1.345,28.7461
1.346,30.1266
1.347,30.5414
1.348,30.148
1.349,30.3125
1.35,31.3425
1.351,30.6845
1.352,29.9478
1.353,29.4328
1.354,30.5271
1.355,28.5888
1.356,27.2012
1.357,26.4287
1.358,26.5789
1.359,25.0483
1.36,22.3517
1.361,21.6007
1.362,19.9699
1.363,18.4107
1.364,17.6525
1.365,15.0418
1.366,12.939
1.367,10.6931
1.368,9.04083
1.369,7.09534
1.37,4.99249
1.371,2.69651
1.372,0.815392
1.373,-0.858307
1.374,-2.21729
1.375,-3.97682
1.376,-5.20706
1.377,-7.05242
1.378,-8.90493
1.379,-10.5429
1.38,-13.2895
1.381,-15.099
1.382,-17.4093
1.383,-18.3463
1.384,-20.2918
1.385,-22.2731
1.386,-23.2887
1.387,-25.6419
1.388,-26.5002
1.389,-27.0224
1.39,-27.7519
1.391,-30.0837
1.392,-30.4127
1.393,-29.7618
1.394,-30.2768
1.395,-32.0864
1.396,-30.7631
1.397,-30.5772
1.398,-30.098
1.399,-30.6416
1.4,-29.3255
1.401,-28.646
1.402,-27.3228
1.403,-27.2655
1.404,-25.7206
1.405,-23.5534
1.406,-22.2015
1.407,-20.5708
1.408,-19.691
1.409,-17.8528
1.41,-14.7343
1.411,-12.939
1.412,-10.9649
1.413,-9.2411
1.414,-6.90937
1.415,-4.68493
1.416,-2.5177
1.417,-0.507832
1.418,1.10149
1.419,2.87533
1.42,4.64916
1.421,5.81503
1.422,7.9751
1.423,9.69172
1.424,11.5013
1.425,13.9403
1.426,16.129
1.427,18.4321
1.428,19.455
1.429,20.4921
1.43,22.5878
1.431,24.2257
1.432,26.8793
1.433,26.5861
1.434,27.473
1.435,28.8177
1.436,30.3626
1.437,29.9406
1.438,30.3125
1.439,30.427
1.44,31.6429
1.441,30.4914
1.442,29.9406
1.443,29.3255
1.444,30.5629
1.445,28.1596
1.446,27.0009
1.447,25.9566
1.448,26.1426
1.449,23.8681
1.45,21.2073
1.451,20.5135
1.452,18.6968
1.453,16.7441
1.454,15.5067
1.455,12.8531
1.456,10.7789
1.457,8.33273
1.458,6.09398
1.459,4.11272
1.46,2.04563
1.461,0.0143051
1.462,-1.57356
1.463,-3.61204
1.464,-4.93526
1.465,-6.58751
1.466,-9.23395
1.467,-10.9863
1.468,-13.5469
1.469,-15.471
1.47,-16.7942
1.471,-19.1474
1.472,-21.1072
1.473,-22.3732
1.474,-25.0411
1.475,-25.6276
1.476,-26.4931
1.477,-27.3442
1.478,-29.7189
1.479,-30.3912
1.48,-29.6688
1.481,-30.2696
1.482,-32.1007
1.483,-30.8847
1.484,-30.6559
